label,h_mean,s_mean,v_mean,h_std,s_std,v_std
red,19.605569072722357,168.30424439037577,211.2300621789673,42.43747089865141,45.528034147243126,53.98256909573851
red,21.178102189781022,168.39464720194647,206.80032441200325,45.3705820751348,45.80689776305463,57.57416815760756
red,20.868613138686133,173.76609894566099,202.4381724790484,46.10512731277301,45.01227740602606,59.96802655797644
red,15.315761016490944,175.30775885374425,212.22660178426602,35.825646362853405,41.97666690309385,48.70958306808612
red,32.76388213030549,123.20102730467694,88.19080832657475,64.70636981248428,95.2814639434524,87.54257656056986
red,39.290456880237905,130.1868613138686,88.08813192754799,71.37365046976986,93.69278085005857,82.9403138776537
red,37.26655852933225,153.3028386050284,112.10673154906732,70.09404329126382,87.58669032005093,89.57294170081535
red,36.34090294674236,170.9258177885915,142.91208434712084,68.42548436328286,63.827123663585084,79.07282568994552
red,45.99270072992701,136.32570965125709,105.89278183292782,74.31607894572649,84.3088164437538,81.87283752258567
red,43.51657204649906,118.17777777777778,90.082400648824,70.52365928605315,88.74664799282873,80.89615276960343
red,40.98302243849689,150.51213841578806,104.6308732089754,72.28890427267012,83.5650937890274,81.03374515984595
red,34.63768586104352,184.81330089213301,138.98567180319006,67.38894025840877,60.66188511230738,80.82852301404465
red,57.79643146796432,134.77512841308462,91.2845093268451,79.04678961264521,89.7727628301112,79.23305558387348
red,54.24255204109219,160.10391997837255,124.11862665585294,79.5434457898882,70.53708308448593,75.37912815925988
red,34.60389294403893,142.4089753987564,99.53614490402812,68.1026673233204,91.94643777094554,87.67923413665618
red,52.1397134360638,153.02481751824817,125.68715869153826,77.44437694873416,67.06923611883185,70.3621620019527
red,42.422871046228714,138.88650986753177,150.5683698296837,68.66057332689645,59.80117674333091,63.28434922040645
red,51.71230062178967,159.07147877804812,118.39480940794809,78.22253631771083,78.40134905165888,84.21127638333843
red,60.50802919708029,152.2037307380373,109.363233306299,81.19511827750874,80.91994727253497,81.59939126095114
red,44.9352798053528,140.51473371181402,104.87915652879157,74.48155332620374,89.29278889373948,87.82539970566576
red,51.71067856177345,152.4110840767775,111.01075966477427,78.21301516758561,81.74075012680647,83.22045521665967
red,47.780643417139764,152.55458231954583,110.33814544471478,75.90131007475954,83.8087488760391,85.3342005095805
red,39.60286563936199,148.70932684509327,111.26153014328197,71.59886758779886,89.02305406296114,89.70615814009717
red,59.28861854555285,150.3183022438497,109.01870775885375,81.3180796706999,80.09850827299022,79.8468890069176
red,40.222708840227085,162.59210597458772,123.76961340902946,71.73516583912189,81.50749333976034,87.96345837527988
red,51.05358204920249,151.95414977020818,108.98821303054879,78.06518993403593,82.03210032414407,82.67706924790974
red,36.37875101378751,157.50559610705596,119.43173830765072,69.15728626300312,85.15997546046675,89.64273735566708
red,48.47829143011625,157.69753987564206,118.34414706677481,76.85100481810414,77.74931887108929,82.5309544864301
red,53.25233846985672,155.92527710191945,116.47926466612599,79.05796441580202,77.0214951698009,80.83464302682253
red,46.86196269261963,160.67142470938091,123.00156799134902,75.91678423592644,74.99472893001371,81.22535376546118
red,34.68521221951879,174.55842119491754,135.93787510137875,67.63160682688672,73.05511058276491,86.20283818775518
red,34.44147066774804,166.49391727493918,131.1756690997567,67.11925786638349,79.50465497726861,90.54295632335314
red,47.13279264666126,144.5536090835361,107.37766964044336,75.70676553472383,88.86895638131803,88.88165186807451
red,38.929872938632066,165.03849689105164,137.4123817247905,70.06065346040005,68.5600825533311,81.91539155819704
red,30.377777777777776,173.122032981887,144.38810489321438,62.50331571271524,69.31953180508451,86.61914105955715
green,63.376966747769664,149.34144363341443,48.97155988104893,30.63415162241333,69.96428115199717,44.24578250589768
green,64.32668288726683,152.02670992160043,47.475155447418224,30.8655441509415,72.07609853301165,44.2162277339643
green,64.19459313327927,153.18475263584753,42.26931603135983,34.049018192387706,75.79494244938304,42.38076321794204
green,66.14366044876994,150.8213030548797,38.4595836712625,34.853662557672614,78.87187292581883,41.98606827395074
green,63.144904028115704,154.29094349824277,48.756042173560424,36.97058712498025,80.46836115493208,50.26695389432154
green,63.70640713706407,165.50975939443092,44.3816166531495,38.3785697266175,71.68222882713545,45.28137172188494
green,64.6448229251149,156.58356312516895,41.59378210327115,29.704382781158316,71.00907214396786,41.879467028369135
green,65.62470938091376,158.6014057853474,41.797188429305216,30.88902434911068,70.78537122015624,42.04692743495825
green,66.21443633414437,163.6236280075696,42.711705866450394,35.40438123487582,71.5722473798464,43.44160832866488
green,65.32689916193566,162.98810489321437,41.24422816977562,35.89081514720956,72.75560952708427,43.189433428169544
green,64.70154095701541,163.8698567180319,47.347877804812114,35.97642623231103,71.00052193020652,46.39763592375732
green,63.961286834279534,157.70716409840497,42.09916193565829,33.44384137868117,68.02898575995646,42.08226096102467
green,64.80129764801298,159.46818058934846,40.15133819951338,32.118866121029114,74.74683052763399,42.2764850045579
green,64.9676128683428,160.45909705325764,41.03801027304677,34.414572191665286,73.04417695712404,42.91719475656985
green,64.74647201946472,162.75939443092727,41.27775074344417,35.38438079559406,71.91106794250378,42.77588046967255
green,64.95052716950528,163.71084076777507,41.32971073263044,35.79998182534158,72.21202582328206,42.84838597663919
green,64.60481211138145,164.01319275479858,41.03336036766694,36.00275332035362,72.77626606936543,42.89677054641614
green,64.40470397404704,156.00108137334414,40.59653960529873,29.742730150352063,71.67219163462443,41.366736482197915
green,63.2912138415788,156.05212219518788,40.54695863746959,30.05022696586748,72.58749295696128,41.03238750491849
green,61.90246012435794,165.98869964855368,50.47542579075426,34.095432467850294,71.01476897221944,48.78198326613251
green,57.452879156528795,171.89402541227358,58.80421735604217,34.24247829878029,70.24790624232548,55.151320295728695
green,63.13792917004596,145.3434441741011,63.8676399026764,20.629104266363743,61.390615746072015,47.369265448565045
green,63.75701540957015,142.16139497161396,61.939226818058934,20.887701680535166,61.394804712961005,45.92794036812615
green,65.62600702892674,147.90240605569073,65.44303865909706,17.797621868680658,60.15224032718191,45.444517858203206
green,63.47374966207083,161.01135442011355,39.08872668288727,36.746437598134676,74.33548802901699,42.1372988521572
green,64.83233306299,157.88856447688565,38.312516896458504,33.11771060324585,74.92354554306914,40.793539642687705
green,64.44893214382266,156.4779129494458,37.866612597999456,32.7093333393584,75.19058050710831,40.42507441467113
green,75.42876453095431,168.59816166531496,29.877372262773722,30.97808476094971,72.5503885779117,35.81584411110945
green,77.61276020546093,168.70316301703164,28.006812652068128,30.785317022552313,75.12583311368554,35.51083294013201
green,64.80762368207624,158.50408218437414,50.74328196809949,31.797503668173142,75.62427416529417,48.920465602167724
green,66.17339821573398,151.52873749662072,55.76317923763179,28.467864299099443,73.27971219446502,50.347923166000996
green,63.604595836712626,159.05255474452554,63.000270343336034,20.486715454238638,65.99383052455771,49.88215200720466
green,63.66509867531765,158.54003784806704,62.8213030548797,20.910685106401505,65.93108795646144,49.90617442048348
green,63.6154636388213,159.20454176804543,62.197891321978915,21.473698275353982,66.79545112361969,49.907319194741525
green,64.10229791835631,158.54971613949715,61.23568532035685,22.204279600285126,66.46248539318717,49.75571231756846
green,63.81978913219789,159.37756150310895,60.84011895106786,22.51880636313606,66.61571470929361,49.712039254181846
